web-scraper-order,web-scraper-start-url,linki,linki-href
"1630625562-305","https://www.msn.com/en-us/Sports","College GameDay Announces Special Guest For Week 1 Show
                        On Saturday morning, ESPN’s College GameDay crew will be in Charlotte, N.C. ahead of a clash between two championship contenders: Georgia and Clemson. The two top-five teams have sky-high aspirations for the 2021 season. But just one will emerge victorious by Saturday night. To get a…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/ncaafb/college-gameday-announces-special-guest-for-week-1-show/ar-AAO27IO"
"1630625562-612","https://www.msn.com/en-us/Sports","Opponent Offense Preview: Montana Grizzlies
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/ncaafb/opponent-offense-preview-montana-grizzlies/ar-AAO048v"
"1630625562-611","https://www.msn.com/en-us/Sports","Jacksonville State vs. UAB live stream info, TV channel: How to watch…
                            
                                    


                CBS Sports","https://www.msn.com/en-us/sports/ncaafb/jacksonville-state-vs-uab-live-stream-info-tv-channel-how-to-watch-ncaa-football-on-tv-stream-online/ar-AANYTL2"
"1630625562-804","https://www.msn.com/en-us/Sports","2022 World Cup Qualifiers: Boboye warns Super Eagles ahead of…
                            
                                    


                Goal","https://www.msn.com/en-us/sports/soccer/2022-world-cup-qualifiers-boboye-warns-super-eagles-ahead-of-liberia-clash/ar-AANZx5G"
"1630625562-616","https://www.msn.com/en-us/Sports","Padres notes: Lamet shows promise in relief; Adams advances toward…
                            
                                    


                San Diego Union Tribune","https://www.msn.com/en-us/sports/mlb/padres-notes-lamet-shows-promise-in-relief-adams-advances-toward-dubious-record/ar-AAO02mB"
"1630625562-213","https://www.msn.com/en-us/Sports","Video
                            
                        Inside the NFL | Official Trailer | Paramount+
                        The Emmy Award-winning studio show INSIDE THE NFL has a new home this season as it premieres on Paramount+. INSIDE THE NFL covers every game, every week, with trademark highlights from NFL Films, including all the sound and wires, special in-depth features and spirited debate on the game's hottest topics each Tuesday night.
                            
                                    


                CBS Entertainment","https://www.msn.com/en-us/sports/nfl/inside-the-nfl-official-trailer-paramountplus/vi-AAO26uu"
"1630625562-854","https://www.msn.com/en-us/Sports","Big Ten Daily: Michigan State Names Alan Haller Next Athletic Director
                        Michigan State named Alan Haller its 20th athletic director Wednesday, Quinn Ewers signed a multi-year NIL deal with more than $1 million and Iowa football's matchup with Iowa State is already sold out. Here's the latest from around the Big Ten.
                            
                                    


                Hoosiers Now on FanNation","https://www.msn.com/en-us/sports/ncaafb/big-ten-daily-michigan-state-names-alan-haller-next-athletic-director/ar-AANZyHl"
"1630625562-401","https://www.msn.com/en-us/Sports","Video
                            
                        Shams Charania: Paul Millsap and Nets Agree to Deal
                            
                                    


                Stadium","https://www.msn.com/en-us/sports/nba/shams-charania-paul-millsap-and-nets-agree-to-deal/vi-AAO1EaV"
"1630625562-513","https://www.msn.com/en-us/Sports","National boss ‘won’t tolerate’ Chelsea star’s ‘behaviour’
                            
                                    


                Football365","https://www.msn.com/en-us/sports/soccer/national-boss-wont-tolerate-chelsea-stars-behaviour/ar-AAO1bfK"
"1630625562-880","https://www.msn.com/en-us/Sports","Vladimir Tarasenko Still Awaits a Trade
                        It's been almost two months since Vladimir Taransenko reportedly requested a trade from the St. Louis Blues earlier in the off-season. Despite weeks of speculation, however, the 29-year-old winger is no closer to changing teams.
                            
                                    


                Hockey News on Sports Illustrated","https://www.msn.com/en-us/sports/nhl/vladimir-tarasenko-still-awaits-a-trade/ar-AANZr1P"
"1630625562-565","https://www.msn.com/en-us/Sports","Lego's awesome Camp Nou set brings the FC Barcelona atmosphere…
                            
                                    


                T3","https://www.msn.com/en-us/sports/la-liga/legos-awesome-camp-nou-set-brings-the-fc-barcelona-atmosphere-to-your-house/ar-AAO0Pyt"
"1630625562-173","https://www.msn.com/en-us/Sports","Video
                            
                        Match Highlights: Saudi Arabia vs. Vietnam
                            
                                    


                CBS Entertainment","https://www.msn.com/en-us/sports/cricket/match-highlights-saudi-arabia-vs-vietnam/vi-AAO2eq5"
"1630625562-819","https://www.msn.com/en-us/Sports","Video
                            
                        Kyle Shanahan Should Make His Own Decisions for the 49ers
                            
                                    


                All 49ers on FanNation","https://www.msn.com/en-us/sports/nfl/kyle-shanahan-should-make-his-own-decisions-for-the-49ers/vi-AANZnrf"
"1630625562-225","https://www.msn.com/en-us/Sports","Real Madrid Femenino Close To Signing Goalkeeper Yolanda…
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/soccer/real-madrid-femenino-close-to-signing-goalkeeper-yolanda-aguirre-%e2%80%94-report/ar-AAO2mMn"
"1630625562-723","https://www.msn.com/en-us/Sports","Avalanche sign Jack Johnson to a PTO weeks before preseason begins
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nhl/avalanche-sign-jack-johnson-to-a-pto-weeks-before-preseason-begins/ar-AANZOp7"
"1630625562-364","https://www.msn.com/en-us/Sports","Report: LaMarcus Aldridge cleared to return to NBA after abruptly…
                        LaMarcus Aldridge is clear to return to the NBA after retiring abruptly in April when he experienced an irregular heartbeat in a game, The Athletic's Shams Charania reported. The Brooklyn Nets are favorites to sign Aldridge, Charania reported. Aldridge signed a one-year deal with Brooklyn in March…
                            
                                    


                Yahoo! Sports","https://www.msn.com/en-us/sports/nba/report-lamarcus-aldridge-cleared-to-return-to-nba-after-abruptly-retiring-with-irregular-heartbeat/ar-AAO1ZvP"
"1630625562-49","https://www.msn.com/en-us/Sports","Photos
                            
                        Which NFL draft round produced the most players on a 2021 roster?
                            
                                    


                List Wire","https://www.msn.com/en-us/sports/nfl/which-nfl-draft-round-produced-the-most-players-on-a-2021-roster/ss-AAO2gr9"
"1630625562-599","https://www.msn.com/en-us/Sports","Open Thread: September 2, 2021
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/soccer/open-thread-september-2-2021/ar-AAO0eGm"
"1630625562-136","https://www.msn.com/en-us/Sports","Cowboys Rookie CB Joseph Gets Injury News
                        FRISCO - The Dallas Cowboys escaped their NFL preseason-finale loss on Sunday afternoon to the Jacksonville Jaguars with but one injury issue - an issue that Kelvin Joseph himself was labeling ""minor.'' Unfortunately, Joseph, the rookie second-round cornerback, isn't allowed to ""play doctor'' ...
                            
                                    


                Cowboy Maven on FanNation","https://www.msn.com/en-us/sports/nfl/cowboys-rookie-cb-joseph-gets-injury-news/ar-AAO2pX7"
"1630625562-125","https://www.msn.com/en-us/Sports","Ohio State football: Buckeyes without 2 starters for opener vs…
                        Ohio State football opens its season on Thursday night against Minnesota but will do so without a pair of starters and without some key reserves. The Ohio State Buckeyes will be without two starters and one of their best defensive linemen when Ryan Day's team takes on P.J. Fleck's Minne...
                            
                                    


                Fansided","https://www.msn.com/en-us/sports/ncaafb/ohio-state-football-buckeyes-without-2-starters-for-opener-vs-minnesota/ar-AAO2mnI"
"1630625562-235","https://www.msn.com/en-us/Sports","Deconstructing the Myth of Winning with Alex Smith in DC
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/deconstructing-the-myth-of-winning-with-alex-smith-in-dc/ar-AAO2hEL"
"1630625562-738","https://www.msn.com/en-us/Sports","Photos
                            
                        Five keys to a Wisconsin victory over Penn State on Saturday
                            
                                    


                SMG","https://www.msn.com/en-us/sports/ncaafb/five-keys-to-a-wisconsin-victory-over-penn-state-on-saturday/ss-AANZOeK"
"1630625562-522","https://www.msn.com/en-us/Sports","Sammy Watkins back at practice, Rashod Bateman and Miles Boykin to IR
                        The Ravens got another wide receiver back on the practice field Wednesday. Sammy Watkins took part in the team’s session after an extended absence due to an undisclosed injury. That came a day after offensive coordinator Greg Roman said the team was not overly concerned about the missed time…
                            
                                    


                NBC Sports","https://www.msn.com/en-us/sports/nfl/sammy-watkins-back-at-practice-rashod-bateman-and-miles-boykin-to-ir/ar-AAO1fIg"
"1630625562-670","https://www.msn.com/en-us/Sports","Updated 2021 Fantasy Football RB Auction Values: Dollar…
                            
                                    


                Sporting News","https://www.msn.com/en-us/sports/more-sports/updated-2021-fantasy-football-rb-auction-values-dollar-projections-rankings-for-standard-ppr-running-backs/ar-AAMBkes"
"1630625562-347","https://www.msn.com/en-us/Sports","Bucs Running Back Reportedly Dealing With Minor Injury
                        This time of year, it’s important for NFL teams to be near 100-percent team health with the regular season right around the corner. The Bucs may struggle to meet such a threshold. Tampa Bay Buccaneers running back Giovani Bernard is dealing with mild high-ankle sprain. He missed…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/nfl/bucs-running-back-reportedly-dealing-with-minor-injury/ar-AAO1QPr"
"1630625562-160","https://www.msn.com/en-us/Sports","Video
                            
                        Betting: Will Clemson cover -3 vs Georgia?
                            
                                    


                Yahoo! Sports","https://www.msn.com/en-us/sports/ncaafb/betting-will-clemson-cover-3-vs-georgia/vi-AAO2m3E"
"1630625562-150","https://www.msn.com/en-us/Sports","Texas A&M vs. Kent State prediction, odds, spread, line, over/under &…
                        The Texas A&M Aggies will face the Kent State Golden Flashes to begin the 2021 college football season. What is there to expect at Kyle Field? Jimbo Fisher has a brand new contract extension, keeping him with Texas A&M for the next decade. Now it's time for him to prove he&#0...
                            
                                    


                Fansided","https://www.msn.com/en-us/sports/ncaafb/texas-aandm-vs-kent-state-prediction-odds-spread-line-over-under-and-betting-info-for-ncaa-week-1/ar-AAO2pBM"
"1630625562-608","https://www.msn.com/en-us/Sports","Video
                            
                        Penn State's Sean Clifford confident in coordinator Mike Yurcich
                            
                                    


                All Penn State on FanNation","https://www.msn.com/en-us/sports/nfl/penn-states-sean-clifford-confident-in-coordinator-mike-yurcich/vi-AAO0eMA"
"1630625562-773","https://www.msn.com/en-us/Sports","MLB World Reacts To The Embarrassing Mets News
                        On Wednesday afternoon, the New York Mets announced general manager Zack Scott won’t be traveling with the team after an alleged DUI. “We were surprised and deeply disappointed to learn this morning about an alleged DUI involving Zack Scott,” the Mets said in the statement. “We take this matter very seriously. Zack will not be […] The post…
                            
                                    


                The Spun","https://www.msn.com/en-us/sports/mlb/mlb-world-reacts-to-the-embarrassing-mets-news/ar-AANZCvx"
"1630625562-442","https://www.msn.com/en-us/Sports","2021 Utah Jazz Player Profile: Rudy Gay
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/more-sports/2021-utah-jazz-player-profile-rudy-gay/ar-AAO1nZX"
"1630625562-574","https://www.msn.com/en-us/Sports","Niners' Shanahan tight lipped about Week 1 starting QB
                            
                                    


                AS English","https://www.msn.com/en-us/sports/nfl/niners-shanahan-tight-lipped-about-week-1-starting-qb/ar-AAO1Gg2"
"1630625562-633","https://www.msn.com/en-us/Sports","Video
                            
                        Pittsburgh Pirates on the 50th anniversary of historic lineup
                            
                                    


                CBS News","https://www.msn.com/en-us/sports/mlb/pittsburgh-pirates-on-the-50th-anniversary-of-historic-lineup/vi-AANZYVt"
"1630625562-950","https://www.msn.com/en-us/Sports","Video
                            
                        Final Miami Dolphins Moves to Get to 53-Player Limit
                            
                                    


                All Dolphins","https://www.msn.com/en-us/video/other/final-miami-dolphins-moves-to-get-to-53-player-limit/vi-AANZhi8"
"1630625562-972","https://www.msn.com/en-us/Sports","Al Harrington Says Kwame Brown Wasn't A Bust: ""Michael Jordan …
                        For decades, people have talked about Kwame Brown as one of the biggest busts in NBA history. The Washington Wizards took Brown straight out of high school with the first overall pick, and even though he had all the physical tools to become a dominant big man, his game never took off. But more…
                            
                                    


                Fadeaway World","https://www.msn.com/en-us/sports/nba/al-harrington-says-kwame-brown-wasnt-a-bust-michael-jordan-want-to-win-right-now-right-he-dont-want-to-develop-a-high-school-kid-right/ar-AANZcIq"
"1630625562-205","https://www.msn.com/en-us/Sports","Darius Leonard wants more information about the COVID-19 vaccine
                        More than 93 percent of NFL players are vaccinated. The Colts, Vikings and Bills trail behind other teams, though, and Indianapolis General Manager Chris Ballard conceded Wednesday that there are “consequences” to being unvaccinated. The Colts already have had star players Quenton Nelson and…
                            
                                    


                NBC Sports","https://www.msn.com/en-us/sports/nfl/darius-leonard-wants-more-information-about-the-covid-19-vaccine/ar-AAO2diR"
"1630625562-113","https://www.msn.com/en-us/Sports","Cowboys rookie Osa Odighizuwa gives Tom Brady bulletin-board…
                            
                                    


                Larry Brown Sports","https://www.msn.com/en-us/sports/nfl/cowboys-rookie-osa-odighizuwa-gives-tom-brady-bulletin-board-material/ar-AAO2zD4"
"1630625562-346","https://www.msn.com/en-us/Sports","Luka Doncic's new contract extension puts pressure on the…
                            
                                    


                Sporting News","https://www.msn.com/en-us/sports/nba/luka-doncics-new-contract-extension-puts-pressure-on-the-mavericks-to-become-contenders/ar-AAO1R6g"
"1630625562-259","https://www.msn.com/en-us/Sports","Why backup quarterbacks don’t actually matter in the NFL
                            
                                    


                SB Nation","https://www.msn.com/en-us/sports/nfl/why-backup-quarterbacks-dont-actually-matter-in-the-nfl/ar-AAO24g8"
"1630625562-79","https://www.msn.com/en-us/Sports","Carolina Hurricanes promote Tim Gleason to coaching staff
                            
                                    


                Pro Hockey Rumors","https://www.msn.com/en-us/sports/nhl/carolina-hurricanes-promote-tim-gleason-to-coaching-staff/ar-AAO259O"
